base_market	base_ticker	base_name	lev_market	lev_ticker	lev_name	lev_mult	match_type	note
US	INDA	India	US	INDA	India	1	SELF_FORCED	?????: ????/???? ???? ?? ??
US	ITA	Aerospace & Defense					NO_2X	3x? ???? ??; 2x ?? ??
US	ITB	Home Construction					NO_2X	3x? ???? ??; 2x ?? ??
US	IWM	Russell 2000	US	UWM	ProShares Ultra Russell2000	2	EXACT_2X	러셀2000 2x
US	JETS	Airlines					NO_2X	3x? ???? ??; 2x ?? ??
US	KBE	Banks					NO_2X	3x? ???? ??; 2x ?? ??
US	KRE	Regional Banks					NO_2X	3x? ???? ??; 2x ?? ??
US	KSA	Saudi Arabia					NO_2X	2x ?? ??
US	LIT	Lithium & Battery Tech					NO_2X	2x ?? ??
US	MTUM	Momentum					NO_2X	2x ?? ??
US	PAVE	Infrastructure	US	XPAV	CORGI U.S. Infrastructure 2X Daily ETF	2	PROXY_2X	미국 인프라 2x
US	PDBC	Broad Commodities					NO_2X	2x ?? ??
US	PDP	Dorsey Wright Momentum					NO_2X	2x ?? ??
US	PICK	Global Metals & Mining					NO_2X	2x ?? ??
US	PTF	Technology Momentum					NO_2X	2x ?? ??
US	QMOM	Quant Momentum					NO_2X	2x ?? ??
US	QQQ	Nasdaq 100	US	QLD	ProShares Ultra QQQ	2	EXACT_2X	Nasdaq100 대표 2x
US	REMX	Rare Earth/Strategic Metals					NO_2X	2x ?? ??
US	SCHD	Dividend					NO_2X	2x ?? ??
US	SCZ	EAFE Small Cap					NO_2X	2x ?? ??
US	SLV	Silver	US	AGQ	ProShares Ultra Silver	2	EXACT_2X	은 2x
US	SMH	Semiconductor	US	USD	ProShares Ultra Semiconductors	2	EXACT_2X	반도체 2x
US	SPY	S&P 500	US	SSO	ProShares Ultra S&P500	2	EXACT_2X	S&P500 대표 2x
US	SRVR	Data Center & Infrastructure Real Estate					NO_2X	2x ?? ??
US	SVXY	Short VIX Futures					NO_2X	2x ?? ??
US	TAN	Solar					NO_2X	2x ?? ??
US	THD	Thailand					NO_2X	2x ?? ??
US	TLT	20+ Year Treasury	US	UBT	ProShares Ultra 20+ Year Treasury	2	EXACT_2X	장기채 2x
US	TUR	Turkey					NO_2X	2x ?? ??
US	UNG	Natural Gas	US	BOIL	ProShares Ultra Bloomberg Natural Gas	2	EXACT_2X	천연가스 2x
US	URA	Uranium	US	URA	Uranium	1	SELF_FORCED	?????: ????/???? ???? ?? ??
US	VGK	Europe	US	UPV	ProShares Ultra FTSE Europe	2	EXACT_2X	유럽 2x
US	VNM	Vietnam					NO_2X	2x ?? ??
US	VNQ	Real Estate	US	URE	ProShares Ultra Real Estate	2	EXACT_2X	부동산 2x
US	VTV	Value					NO_2X	2x ?? ??
US	VUG	Growth					NO_2X	2x ?? ??
US	VWO	Emerging Markets	US	EET	ProShares Ultra MSCI Emerging Markets	2	EXACT_2X	신흥국 2x
US	VYM	High Dividend					NO_2X	2x ?? ??
US	XBI	S&P Biotech					NO_2X	3x? ???? ??; 2x ?? ??
US	XLB	Materials	US	UYM	ProShares Ultra Materials	2	EXACT_2X	소재 2x
US	XLC	Communication Services	US	LTL	ProShares Ultra Communication Services	2	EXACT_2X	커뮤니케이션 2x
US	XLE	Energy	US	DIG	ProShares Ultra Energy	2	EXACT_2X	에너지 2x
US	XLF	Financials	US	UYG	ProShares Ultra Financials	2	EXACT_2X	금융 2x
US	XLI	Industrials	US	UXI	ProShares Ultra Industrials	2	EXACT_2X	산업재 2x
US	XLK	Technology	US	ROM	ProShares Ultra Technology	2	EXACT_2X	기술주 2x
US	XLP	Consumer Staples	US	UGE	ProShares Ultra Consumer Staples	2	EXACT_2X	필수소비재 2x
US	XLU	Utilities	US	UPW	ProShares Ultra Utilities	2	EXACT_2X	유틸리티 2x
US	XLV	Healthcare	US	RXL	ProShares Ultra Health Care	2	EXACT_2X	헬스케어 2x
US	XLY	Consumer Discretionary	US	UCC	ProShares Ultra Consumer Discretionary	2	EXACT_2X	임의소비재 2x
US	XME	Metals & Mining					NO_2X	2x ?? ??
