Ticker,Close,RS_rating,RS_rating_old,RS_rating_new,RS_score,TT_pass,RS_pass,Minervini_pass,Minervini_score,early_stage_score,R3M,R6M,R9M,R12M,RS_raw,Bench_R12,C1_Price>MA150&200,C2_MA150>MA200,C3_MA200_up_22d,C4_MA50>MA150&200,C5_+25%_from_low,C6_within_25%_high,Days_passed
SKYT,32.46,96.2,96.2,92.6,67.84289948344255,True,True,True,74.63,20.514212408949447,1.7554858934169415,-1.5169902912621325,97.32522796352585,239.89528795811518,220.68193947491756,19.213348483197645,1,1,1,1,1,1,1
MRNA,158.83,100.0,99.5,100.0,354.5106092023758,True,True,True,74.5,15.0,233.60638521319052,209.1882421646876,569.6037099494099,526.5483234714004,507.3349749882028,19.213348483197645,1,1,1,1,1,1,5
ERO,40.4,94.2,93.6,94.2,74.80495371659086,True,True,True,74.37,22.284682241114087,43.36408800567779,17.54437009019494,87.03703703703702,182.7151854443667,163.50183696116906,19.213348483197645,1,1,1,1,1,1,1
TGT,163.47,88.5,76.9,88.5,50.004433850536685,True,True,True,74.27,29.5556973058657,27.38252941634847,40.38990037787702,86.5669938370235,68.30021620508597,49.086867721888325,19.213348483197645,1,1,1,1,1,1,36
WT,24.13,91.2,82.1,91.2,59.87070673500365,True,True,True,74.16,25.583560357564174,27.87493375728669,39.399191218948594,120.56672760511881,83.63774733637746,64.42439885317981,19.213348483197645,1,1,1,1,1,1,37
ILMN,224.99,94.6,89.4,94.6,78.33653964461178,True,True,True,74.14,21.013352252590874,49.82353332889393,84.61475342578157,81.66330238191361,125.75757575757578,106.54422727437813,19.213348483197645,1,1,1,1,1,1,44
PSX,236.9,90.4,81.8,90.4,57.46628912054608,True,True,True,73.67,25.02670744757933,35.65824886903739,55.947600552958995,77.16123242596471,82.90611488573192,63.692766402534275,19.213348483197645,1,1,1,1,1,1,35
CGAU,24.18,95.6,95.5,95.6,87.3889463028097,True,True,True,73.24,16.678890846404688,43.58669833729216,26.068821689259636,108.44827586206898,215.25423728813558,196.04088880493796,19.213348483197645,1,1,1,1,1,1,1
BHP,98.69,84.4,79.7,84.4,41.68812078841339,True,True,True,73.15,31.311006205211257,12.36479562791757,20.82517140058764,85.92690278824415,76.95893849740003,57.745590014202385,19.213348483197645,1,1,1,1,1,1,97
WBD,28.9,90.6,90.6,82.3,35.546652704855255,False,True,False,73.11,39.55898020070328,6.484893146646997,0.0,24.730254639620174,140.03322259136212,120.81987410816448,19.213348483197645,1,1,1,0,1,1,0
TDW,92.32,83.3,70.4,83.3,37.91224854144751,True,True,True,72.71,31.310001963491175,22.94579837528299,17.530235518777836,71.7581395348837,54.381270903010034,35.16792241981239,19.213348483197645,1,1,1,1,1,1,2
IMNM,29.385,94.1,94.1,93.6,70.66626845601175,True,True,True,72.7,16.864472152134926,32.903663500678434,32.723577235772375,58.580679978413386,196.21975806451616,177.0064095813185,19.213348483197645,1,1,1,1,1,1,6
AMLX,37.46,99.4,98.2,99.4,197.84387402782053,True,True,True,72.14,7.941174092560148,166.2402274342573,160.6819763395964,155.35105657805045,340.7058823529412,321.49253386974357,19.213348483197645,1,1,1,1,1,1,6
NDSN,333.58,74.0,65.0,74.0,27.274098791232262,True,True,True,72.04,41.45079040178865,15.529542148645836,14.699308874600291,42.87305122494431,47.73904955932504,28.525701076127397,19.213348483197645,1,1,1,1,1,1,160
PAGP,27.16,74.4,63.3,74.4,27.463304844130477,True,True,True,71.88,40.39759615639928,9.163987138263675,23.792160437556966,50.805108273181546,44.391281233386515,25.17793275018887,19.213348483197645,1,1,1,1,1,1,146
IVZ,32.72,77.8,68.3,77.8,30.290132517483364,True,True,True,71.79,35.56677244089744,18.507787033683453,22.18073188946974,40.91300602928509,51.341350601295076,32.128002118097434,19.213348483197645,1,1,1,1,1,1,41
GSAT,82.03,94.6,94.6,90.0,55.02113009221954,True,True,True,71.78,13.130544286948917,-2.6927639383155344,29.303278688524603,44.419014084507054,206.76888556469711,187.55553708149947,19.213348483197645,1,1,1,1,1,1,102
FCX,79.91,88.7,81.7,88.7,50.12279693713498,True,True,True,71.52,20.12916749333041,25.585415684425584,16.114501598372577,100.4263857536995,82.90226596475165,63.68891748155401,19.213348483197645,1,1,1,1,1,1,19
SBLK,31.11,82.1,74.5,82.1,35.397496790641725,True,True,True,71.34,28.33344588827161,13.830954994511524,24.83948635634028,62.539184952978054,61.946902654867245,42.733554171669596,19.213348483197645,1,1,1,1,1,1,101
EXPD,189.05,79.6,71.9,79.6,31.290278686334972,True,True,True,71.3,31.541076436643,17.0515757538233,33.25579756114754,32.00893792332937,57.083506439551336,37.87015795635369,19.213348483197645,1,1,1,1,1,1,78
ALSN,131.62,76.0,65.5,76.0,28.70062355991551,True,True,True,71.02,35.39453895441175,15.598102933427027,7.252281616688405,56.09582542694498,48.9588048890901,29.745456405892455,19.213348483197645,1,1,1,1,1,1,3
MBX,68.62,98.8,98.8,98.6,174.08952602581311,True,True,True,70.99,4.889759496067982,115.2446675031368,92.53647586980922,153.39734121122603,394.0244780417567,374.81112955855906,19.213348483197645,1,1,1,1,1,1,41
ASX,37.08,97.2,97.2,96.8,96.21877044628789,True,True,True,70.98,6.989412048342944,-5.093422062963915,47.67025089605734,168.30680173661358,275.3036437246963,256.09029524149867,19.213348483197645,1,1,1,1,1,1,19
MU,932.97,100.0,100.0,99.6,233.94934763485588,True,True,True,70.88,2.9292642383754743,0.49116230975538855,117.47552447552448,349.9059651830062,701.3829238962378,682.1695754130402,19.213348483197645,1,1,1,1,1,1,10
WEX,199.71,80.9,35.8,80.9,33.2540124357354,True,True,True,70.81,28.153149658399624,39.755073477956614,33.1133773245351,36.74084217733653,16.905695720892112,-2.3076527623055343,19.213348483197645,1,1,1,1,1,1,12
AMD,479.18,96.0,93.8,96.0,89.82415516094483,True,True,True,70.78,7.92868546766287,-3.3014489244057033,127.25030826140565,135.1457454117185,193.32761998041136,174.1142714972137,19.213348483197645,1,1,1,1,1,1,19
TWST,151.42,99.9,99.1,99.9,272.07018071247035,True,True,True,70.59,2.1162873608014574,135.96696275518153,205.4054054054054,430.18207282913164,452.8294998174515,433.6161513342539,19.213348483197645,1,1,1,1,1,1,13
STX,821.67,99.0,99.0,98.3,146.10468177867148,True,True,True,69.97,1.2363624066730234,-5.6267659017297245,94.77776460827305,245.98088340561705,401.0182926829268,381.80494419972916,19.213348483197645,1,1,1,1,1,1,1
AMGN,442.24,80.5,69.7,80.5,32.51655855603792,True,True,True,69.93,25.76732520963904,31.595548413973695,15.067780292977396,31.018545950109623,53.30536970915518,34.09202122595754,19.213348483197645,1,1,1,1,1,1,23
DNTH,112.11,98.6,98.6,98.2,144.84205653770078,True,True,True,69.78,1.1390137028646534,29.352717203184486,116.13649508386352,170.47044632086852,378.8979068774029,359.6845583942052,19.213348483197645,1,1,1,1,1,1,46
EWTX,44.21,95.4,94.7,95.4,82.91626966094293,True,True,True,69.67,5.020474939120506,31.812760882528334,46.779548472775566,95.01543890604323,209.16083916083915,189.9474906776415,19.213348483197645,1,1,1,1,1,1,47
TRMD,31.47,68.8,68.8,67.7,23.277205585136148,True,False,False,69.63,40.37957023617956,5.533199195171012,13.44628695025234,39.99110320284698,51.88223938223939,32.66889089904175,19.213348483197645,1,1,1,1,1,1,38
ORKA,101.82,99.7,99.7,99.7,237.8239124339055,True,True,True,69.54,-1.1469384555923092,75.58199689601655,188.60544217687072,247.6271765107545,601.7229496898691,582.5096012066714,19.213348483197645,1,1,1,1,1,1,28
PRAX,368.02,99.9,99.9,98.5,162.54958271351865,True,True,True,69.48,-1.5904396347872278,3.0493097751518983,5.88980002877284,116.7373380447585,684.022155943758,664.8088074605603,19.213348483197645,1,1,1,1,1,1,5
NBIS,221.97,97.1,95.6,97.1,101.16612012719784,True,True,True,69.16,1.0509805233728813,6.526851274175738,109.1688654353562,166.59860677396105,217.00942587832049,197.79607739512284,19.213348483197645,1,1,1,1,1,1,1
SKE,35.06,90.0,90.0,89.6,53.415711682025865,False,True,False,68.97,26.567004236085047,21.609434616718715,-3.7077725899478,98.86557005104936,128.70189171559034,109.4885432323927,19.213348483197645,1,1,1,0,1,1,0
SVXY,62.07,63.7,47.4,63.7,20.78059272210014,True,False,False,68.94,44.851569834147284,14.478052379195884,15.371747211895915,32.48665955176093,27.088452088452076,7.87510360525443,19.213348483197645,1,1,1,1,1,1,50
DELL,451.5,99.0,96.4,99.0,174.91461122508926,True,True,True,68.93,-2.2375583822338005,47.877636578016514,265.6462585034013,268.5413435637907,244.63018090222124,225.4168324190236,19.213348483197645,1,1,1,1,1,1,19
EZPW,35.23,89.4,88.2,89.4,52.28785981287885,True,True,True,68.93,10.57064653115907,5.447470817120625,35.86579251831854,97.47757847533632,117.20098643649814,97.98763795330049,19.213348483197645,1,1,1,1,1,1,3
VRTX,552.85,74.7,61.4,74.7,27.80635154493962,True,True,True,68.93,30.152105300276475,26.446640135400944,14.449849912017388,29.545880588621245,42.14274695325757,22.929398470059926,19.213348483197645,1,1,1,1,1,1,30
NESR,33.48,97.4,97.4,97.2,105.22890097912187,True,True,True,68.84,-0.41437019300015276,32.646592709984155,29.21651871864144,142.78462654097171,288.8501742160279,269.63682573283023,19.213348483197645,1,1,1,1,1,1,17
TNK,90.03,84.0,83.5,84.0,39.48907840318934,True,True,True,68.79,17.296731420044278,21.695052716950514,20.409255048816387,44.62650602409639,89.0195255091329,69.80617702593526,19.213348483197645,1,1,1,1,1,1,36
SSRM,39.21,91.5,89.1,91.5,62.15001247900408,True,True,True,68.78,7.273679800337401,31.975765735442607,28.599540833060022,94.39762022806147,123.80136986301369,104.58802137981604,19.213348483197645,1,1,1,1,1,1,3
MRK,156.45,86.5,81.9,86.5,46.28206227579281,True,True,True,68.66,13.535943975733797,30.11477045908184,27.756001959823617,60.03477905073649,83.38998945024028,64.17664096704263,19.213348483197645,1,1,1,1,1,1,45
DFTX,44.81,99.2,97.9,99.2,197.39043217327145,True,True,True,68.6,-3.6131102262283226,90.51870748299322,154.3132803632236,311.8566176470588,339.7448478900884,320.53149940689076,19.213348483197645,1,1,1,1,1,1,44
GHRS,28.92,94.1,88.3,94.1,73.61379255911268,True,True,True,68.6,3.197357788388239,29.33810375670842,83.61904761904763,106.35033892258296,119.42336874051595,100.2100202573183,19.213348483197645,1,1,1,1,1,1,45
KO,91.64,62.1,53.2,62.1,19.400102081231182,True,False,False,68.59,45.81875243728898,12.276402842440582,13.880949422144905,25.620287868403004,32.94646743072682,13.733118947529178,19.213348483197645,1,1,1,1,1,1,124
RVTY,124.84,77.3,55.3,77.3,29.68738469722165,True,True,True,68.5,25.269485503638457,28.980266556462443,27.94916470226505,27.037753129134035,35.48947254178425,16.276124058586603,19.213348483197645,1,1,1,1,1,1,38
TER,366.43,95.4,95.4,93.1,69.09502902737876,True,True,True,68.4,0.8006303020850529,-2.501130830428644,6.886996091243214,130.5896419356869,213.0007687708209,193.78742028762326,19.213348483197645,1,1,1,1,1,1,19
MXL,66.36,98.8,97.7,98.8,174.85272157932445,False,True,False,68.37,12.836042433819943,-34.3620178041543,256.0085836909871,387.9411764705883,299.0378833433554,279.82453486015777,19.213348483197645,1,1,1,1,1,0,0
LQDA,70.49,96.5,92.9,96.5,94.58918182861683,True,True,True,68.36,-0.8158230142985665,13.647722692462704,134.96666666666664,142.15046375815868,168.53333333333333,149.31998485013568,19.213348483197645,1,1,1,1,1,1,48
PBF,66.51,96.9,92.2,96.9,96.38013290808077,True,True,True,68.28,-1.5965802677590875,71.4175257731959,90.08288082309232,90.79173838209984,158.19099378881987,138.97764530562222,19.213348483197645,1,1,1,1,1,1,32
CLMT,47.03,96.7,93.7,96.7,94.77527154411322,True,True,True,68.26,-1.4122272552240542,37.99882629107982,58.93883068604258,152.17158176943704,186.76829268292687,167.55494419972922,19.213348483197645,1,1,1,1,1,1,35
ELVN,61.01,97.3,94.5,97.3,117.88551182330218,True,True,True,68.18,-2.4678654818676624,47.331562424535136,108.36748633879778,180.50574712643677,205.89120080220607,186.67785231900842,19.213348483197645,1,1,1,1,1,1,46
KRYS,356.19,90.8,90.8,89.9,54.744333556140774,True,True,True,68.16,6.141861935728854,16.162802074161032,30.71192660550459,67.9983020469767,142.6858349799005,123.47248649670286,19.213348483197645,1,1,1,1,1,1,79
BEAM,31.03,83.3,83.3,71.0,25.57218739832821,True,True,True,68.04,15.717899704845578,-2.696770147381622,4.795677136102672,39.711841512832045,88.74695863746958,69.53361015427193,19.213348483197645,1,1,1,1,1,1,1
EWY,180.15,91.0,91.0,88.8,50.46250063609823,True,True,True,67.9,5.00676644765074,-9.14821725755206,20.99536570622609,101.9166106254203,147.69696136394884,128.4836128807512,19.213348483197645,1,1,1,1,1,1,11
ATI,215.23,95.0,94.0,95.0,81.0416960587925,True,True,True,67.88,-0.3894508968049687,26.725153085256714,34.50193725784276,123.10562869285788,194.15060817274838,174.93725968955073,19.213348483197645,1,1,1,1,1,1,61
CRWD,185.38,89.5,79.9,89.5,52.41423099490814,True,True,True,67.86,6.882958799357383,14.900210735093577,104.10118080977675,51.12397334257239,77.0455793520044,57.832230868806754,19.213348483197645,1,1,1,1,1,1,30
APPS,10.83,97.4,92.4,97.4,123.41214406330428,True,True,True,67.85,-3.710007393956761,62.125748502994014,179.12371134020623,149.53917050691246,164.14634146341464,144.932992980217,19.213348483197645,1,1,1,1,1,1,1
SCCO,219.7,89.7,89.7,87.2,48.04373387881448,False,True,False,67.61,22.449878816394335,17.017310252995998,2.091078066914509,77.62147303743228,126.47149778373361,107.25814930053596,19.213348483197645,1,1,1,0,1,1,0
LH,337.68,71.8,42.3,71.8,26.069383190720522,True,True,True,67.56,29.470349752781164,30.757018393030023,19.414385741565887,27.119409727450705,22.299083698525955,3.0857352153283113,19.213348483197645,1,1,1,1,1,1,23
ASML,1744.16,90.1,90.1,87.7,48.839389165203826,True,True,True,67.52,4.9425845588874875,9.155313010445166,14.258013376918587,80.44838966655286,131.17991676165732,111.96656827845968,19.213348483197645,1,1,1,1,1,1,67
SOXX,514.06,86.5,86.5,85.6,43.730686848832946,True,True,True,67.34,9.124517338035304,-8.851377708429386,39.69021739130434,89.80910534283497,106.85686692688421,87.64351844368656,19.213348483197645,1,1,1,1,1,1,19
SLAB,218.37,75.5,70.0,75.5,28.27576621994722,True,True,True,67.25,23.48999251287769,0.142162707511706,6.960227272727271,80.59047304002647,53.54380537195893,34.33045688876128,19.213348483197645,1,1,1,1,1,1,140
JBHT,262.18,82.2,82.2,79.0,30.8718936821084,True,True,True,67.17,14.29922719183216,-3.2081810462583515,19.580387685290756,57.5316950069098,83.66374781085814,64.4503993276605,19.213348483197645,1,1,1,1,1,1,97
GH,164.92,93.8,92.7,93.8,70.94849994804268,True,True,True,67.15,-1.219589180807278,29.33887538232294,73.10800881704628,56.44090305444887,166.51583710407238,147.30248862087473,19.213348483197645,1,1,1,1,1,1,48
AMAL,48.42,83.1,75.9,83.1,37.597523641034364,True,True,True,67.11,12.890180915616682,16.98477893210921,21.201501877346686,68.06664352655329,64.74991493705342,45.53656645385578,19.213348483197645,1,1,1,1,1,1,102
ONTO,291.62,93.3,93.2,93.3,69.30642998419316,True,True,True,67.03,-0.9526196489074383,9.265989733598111,29.482283988988556,129.29705928605125,169.2208271787297,150.00747869553206,19.213348483197645,1,1,1,1,1,1,1
FCEL,19.29,98.3,98.3,97.9,130.46376689086014,False,True,False,66.97,8.83850218309799,-18.57323765301816,124.30232558139535,209.1346153846154,356.0283687943262,336.81502031112854,19.213348483197645,1,1,1,1,1,0,0
GKOS,181.39,94.0,84.7,94.0,72.0839500236667,True,True,True,66.95,-2.161225584799298,65.08008736803785,50.04549590536851,82.08191126279863,98.13216821409065,78.918819730893,19.213348483197645,1,1,1,1,1,1,38
FITB,53.42,66.8,56.4,66.8,22.601504557819872,True,False,False,66.93,34.026720851046164,23.087557603686637,12.34490010515248,18.003092555776455,36.48441492079715,17.2710664375995,19.213348483197645,1,1,1,1,1,1,20
MATX,222.82,91.0,87.8,91.0,59.79262264917244,True,True,True,66.83,1.4212493561990145,20.926951047432986,31.032049397236094,111.78595190571241,114.2912098480477,95.07786136485007,19.213348483197645,1,1,1,1,1,1,98
HBM,30.79,92.3,92.3,91.7,62.683083983562916,True,True,True,66.82,-0.3275050212527275,15.795411808950721,11.115120894983743,106.64429530201343,164.06518010291595,144.8518316197183,19.213348483197645,1,1,1,1,1,1,16
MSGS,406.94,87.8,85.9,87.8,48.86548998093214,True,True,True,66.81,5.640667330450706,11.085633172276378,28.89268972507284,88.16294446756368,105.1005493674714,85.88720088427375,19.213348483197645,1,1,1,1,1,1,107
FTNT,153.66,92.3,84.6,92.3,66.33160456907295,True,True,True,66.71,-0.6975930589927388,20.11256155710153,98.65546218487395,94.86399086931709,97.91344667697062,78.70009819377297,19.213348483197645,1,1,1,1,1,1,69
LC,19.21,80.0,77.9,80.0,31.889859818702455,False,True,False,66.66,32.19829870637053,37.41058655221745,4.515778019586514,8.900226757369612,71.21212121212122,51.99877272892357,19.213348483197645,1,1,1,0,1,1,0
IMO,131.49,66.5,66.5,65.8,21.81341072482431,True,False,False,66.45,32.840491801701795,5.538165181796306,13.14861027450307,35.166529605263165,49.675583380762674,30.462234897565033,19.213348483197645,1,1,1,1,1,1,36
ATRO,74.5,91.9,91.9,90.5,58.20662338147521,True,True,True,66.33,-1.4432997419771205,9.831949745617408,18.42728564661298,96.64723070547522,156.29470106405302,137.08135258085537,19.213348483197645,1,1,1,1,1,1,17
FDX,333.71,80.5,80.5,75.3,28.25369308817787,True,True,True,66.25,13.51037586707516,0.6396169234754723,8.317966838232582,53.81126628002213,77.85999847568368,58.64664999248603,19.213348483197645,1,1,1,1,1,1,144
ATKR,93.62,82.9,72.7,82.9,36.55970958502952,True,True,True,66.15,9.959044192486784,13.837548638132313,43.98646570286067,52.0545720318337,59.08241291418861,39.86906443099096,19.213348483197645,1,1,1,1,1,1,34
OII,49.91,91.3,86.9,91.3,60.64650846356457,True,True,True,66.07,-1.4885030206750043,28.66718226346996,31.619198312236275,106.66666666666664,107.61231281198,88.39896432878236,19.213348483197645,1,1,1,1,1,1,35
SN,183.8,92.1,72.6,92.1,65.13371787143106,True,True,True,66.04,-2.666814573202933,57.16117999144934,42.5911559348332,110.03313906982059,58.72193436960278,39.508585886405136,19.213348483197645,1,1,1,1,1,1,43
VSAT,72.46,92.1,92.1,91.8,63.4001760293411,True,True,True,66.01,-2.7789231236925467,-15.3207899964941,52.03524968527067,138.74794069192745,156.85926976249553,137.64592127929788,19.213348483197645,1,1,1,1,1,1,41
BE,217.45,98.1,98.1,96.2,90.9425322066636,False,True,False,65.99,5.8167753356432605,-25.987066031313823,24.420667162556487,141.63795977330813,340.62816616008104,321.4148176768834,19.213348483197645,1,1,1,1,1,0,0
AMAT,480.04,94.2,94.2,93.2,69.27332331188566,False,True,False,65.98,10.989362536257005,7.092024539877295,21.54449930370934,114.29878797348275,196.3392802024816,177.12593171928398,19.213348483197645,1,1,1,1,1,0,0
INTC,87.48,96.5,96.5,95.8,88.03680694175434,False,True,False,65.96,7.881438583365964,-28.159645232815954,86.60409556313992,153.56521739130437,256.3340122199593,237.12066373676163,19.213348483197645,1,1,1,1,1,0,0
MT,73.62,88.1,88.1,86.2,45.27623455980611,True,True,True,65.88,2.131956857580073,7.317784256559778,9.684147794994047,85.0213621512943,117.04009433962264,97.82674585642499,19.213348483197645,1,1,1,1,1,1,78
XLE,62.06,66.0,59.5,66.0,22.031367335951245,True,False,False,65.74,31.136612841394385,8.896297596069491,13.103699653726997,38.80563632297025,40.45490551091999,21.241557027722347,19.213348483197645,1,1,1,1,1,1,36
DNLI,24.93,79.7,73.5,79.7,31.433806568386363,True,True,True,65.46,11.92477087843162,23.35477486392874,11.843876177658142,38.5,60.11560693641618,40.90225845321853,19.213348483197645,1,1,1,1,1,1,54
HUT,85.5,96.8,96.8,95.3,82.71125144750678,False,True,False,65.45,5.756469916756879,-27.320639238354303,54.61121157323689,148.98078043098425,264.6055437100213,245.3921952268237,19.213348483197645,1,1,1,1,1,0,0
WDC,450.75,99.2,99.2,98.1,143.5297096559591,False,True,False,65.39,2.364406721414445,-15.049001130795325,54.92352637910294,223.83791939076082,468.9851047715224,449.77175628832475,19.213348483197645,1,1,1,1,1,0,0
BTSG,57.23,90.4,90.4,86.8,46.48440400392284,True,True,True,65.24,-3.060663239290862,-5.483071841453347,40.269607843137265,65.45244290257297,137.66611295681065,118.45276447361299,19.213348483197645,1,1,1,1,1,1,75
ZD,55.41,89.7,64.5,89.7,53.85758045781165,True,True,True,65.01,-2.896519414838609,21.16772359501422,106.4456035767511,74.19050613014775,46.31634539213096,27.10299690893332,19.213348483197645,1,1,1,1,1,1,65
KOF,116.9,57.4,55.4,57.4,17.18468264940038,True,False,False,64.99,40.09427788099039,6.369426751592355,5.173189383715693,32.25477995248332,35.75659040761816,16.543241924420514,19.213348483197645,1,1,1,1,1,1,22
ALMS,23.96,98.7,98.7,97.6,124.67664021255287,False,True,False,64.98,1.657053702679169,12.33005157055791,-18.47567199727799,228.21917808219177,388.9795918367347,369.76624335353705,19.213348483197645,0,1,1,1,1,1,0
ALKS,49.21,89.1,77.3,89.1,51.72357017708583,True,True,True,64.95,-2.2931584556303393,29.194014176949313,58.537371134020624,72.00279622509613,69.6896551724138,50.476306689216145,19.213348483197645,1,1,1,1,1,1,58
LRCX,314.66,95.0,95.0,93.7,70.9427474478822,False,True,False,64.92,6.404820118712638,-1.3388517856582904,26.12634279300947,120.58184367332632,210.6832543443918,191.46990586119418,19.213348483197645,1,1,1,1,1,0,0
ACMR,79.77,93.3,93.3,92.4,67.82071452086596,False,True,False,64.9,8.589213203033946,-10.006768953068601,16.503578209434778,165.6343656343656,176.97916666666663,157.765818183469,19.213348483197645,1,1,1,1,1,0,0
GCT,52.22,89.0,82.7,89.0,51.14049830434416,True,True,True,64.82,-2.600991115164225,36.13138686131387,47.89011611441516,49.71330275229355,85.83629893238434,66.62295044918669,19.213348483197645,1,1,1,1,1,1,1
TSM,417.41,80.0,80.0,73.1,26.81332677705712,True,True,True,64.64,8.809450534899856,-1.2584865043881455,7.6548113377866045,51.75234494292156,77.17645061335372,57.963102130156074,19.213348483197645,1,1,1,1,1,1,19
DAR,62.58,83.6,78.7,83.6,38.510188531115595,True,True,True,64.62,3.9433191249195905,6.5372829417773115,17.87530608400827,87.47753145596164,74.12353923205343,54.91019074885579,19.213348483197645,1,1,1,1,1,1,131
TIGO,95.23,88.2,85.1,88.2,49.582599742169705,True,True,True,64.49,-2.635312310308072,12.471949923231374,42.77361319340329,81.01121459798519,99.18427107299728,79.97092258979963,19.213348483197645,1,1,1,1,1,1,91
MS,216.77,69.4,64.6,69.4,24.73503327738696,True,False,False,64.38,22.067100608388543,7.519468280343244,24.774074713636107,37.04874502117976,46.81341009143245,27.600061608234803,19.213348483197645,1,1,1,1,1,1,83
ARCB,135.56,87.1,81.3,87.1,47.804883068792634,True,True,True,64.24,-2.0046752987045986,1.6420484366799215,40.18614270941055,114.49367088607593,81.06050487511686,61.84715639191922,19.213348483197645,1,1,1,1,1,1,63
ZETA,27.88,88.1,60.5,88.1,49.1371640281585,True,True,True,64.23,-3.3802064977765065,43.26824254881807,56.19047619047617,61.436016213086276,41.52284263959392,22.30949415639627,19.213348483197645,1,1,1,1,1,1,17
