market,ticker,name,name_en,kind,mult,exchange,type,category,price,chg_pct,volume,basis,source
KR,0192M0,RISE 삼성전자단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 지수,11385,-15.51,287251,종목명,ka40004
KR,0194R0,KIWOOM SK하이닉스선물단일종목레버리지,,레버리지,2,KRX,ETF,KRX SK하이닉스 선물 지수,10635,-16.49,283121,종목명,ka40004
KR,409810,KODEX 미국나스닥100선물인버스(H),,인버스,-1,KRX,ETF,NASDAQ 100,5750,+1.95,281078,종목명,ka40004
KR,0104G0,PLUS K방산레버리지,,레버리지,2,KRX,ETF,,7100,-2.00,214041,종목명,ka40004
KR,123320,TIGER 레버리지,,레버리지,2,KRX,ETF,KOSPI200,113815,-11.92,205520,종목명,ka40004
KR,0193K0,PLUS 삼성전자단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 지수,12650,-13.65,189197,종목명,ka40004
KR,0194N0,KIWOOM 삼성전자선물단일종목레버리지,,레버리지,2,KRX,ETF,KRX 삼성전자 선물 지수,11200,-15.47,177997,종목명,ka40004
KR,176950,KODEX 국채선물10년인버스,,인버스,-1,KRX,ETF,,61095,+0.45,168378,종목명,ka40004
KR,278240,RISE 코스닥150선물레버리지,,레버리지,2,KRX,ETF,F-KOSDAQ150,6570,-13.15,165974,종목명,ka40004
KR,243880,TIGER 200IT레버리지,,레버리지,2,KRX,ETF,정보통신,352005,-16.66,159447,종목명,ka40004
KR,253150,PLUS 200선물레버리지,,레버리지,2,KRX,ETF,F-KOSPI200,209735,-12.10,149442,종목명,ka40004
KR,253240,KIWOOM 200선물인버스,,인버스,-1,KRX,ETF,F-KOSPI200,1435,+5.51,145862,종목명,ka40004
KR,452250,ACE 미국30년국채선물레버리지(합성 H),,레버리지,2,KRX,ETF,,4800,-1.03,128729,종목명,ka40004
KR,409820,KODEX 미국나스닥100레버리지(합성 H),,레버리지,2,KRX,ETF,NASDAQ 100,18620,-4.12,118136,종목명,ka40004
KR,267770,TIGER 200선물레버리지,,레버리지,2,KRX,ETF,F-KOSPI200,87230,-12.16,98839,종목명,ka40004
KR,261270,KODEX 미국달러선물인버스,,인버스,-1,KRX,ETF,,7605,0.00,87212,종목명,ka40004
KR,465350,RISE 2차전지TOP10인버스(합성),,인버스,-1,KRX,ETF,,18685,+2.98,78904,종목명,ka40004
KR,204450,KODEX 차이나H레버리지(H),,레버리지,2,KRX,ETF,HSCEI (Hang Seng China Enterprise Index),2220,-2.20,76601,종목명,ka40004
KR,291630,KIWOOM 코스닥150선물레버리지,,레버리지,2,KRX,ETF,F-KOSDAQ150,3010,-10.81,70646,종목명,ka40004
KR,423920,TIGER 미국필라델피아반도체레버리지(합성),,레버리지,2,KRX,ETF,,104410,-3.15,69200,종목명,ka40004
KR,412560,TIGER BBIG레버리지,,레버리지,2,KRX,ETF,KRX BBIG,1649,-2.71,67528,종목명,ka40004
KR,261250,KODEX 미국달러선물레버리지,,레버리지,2,KRX,ETF,,17910,-0.06,59692,종목명,ka40004
KR,306520,HANARO 200선물인버스,,인버스,-1,KRX,ETF,F-KOSPI200,2635,+5.82,54586,종목명,ka40004
KR,243890,TIGER 200에너지화학레버리지,,레버리지,2,KRX,ETF,에너지화학,8895,-4.71,46444,종목명,ka40004
KR,152500,ACE 레버리지,,레버리지,2,KRX,ETF,KOSPI200,46535,-11.83,34884,종목명,ka40004
KR,205720,ACE 일본TOPIX인버스(합성 H),,인버스,-1,KRX,ETF,TOPIX,1491,+1.50,32652,종목명,ka40004
KR,252410,RISE 200선물인버스,,인버스,-1,KRX,ETF,F-KOSPI200,1450,+6.23,31461,종목명,ka40004
KR,291620,KIWOOM 코스닥150선물인버스,,인버스,-1,KRX,ETF,F-KOSDAQ150,5135,+6.31,30319,종목명,ka40004
KR,261120,TIGER 미국달러선물인버스2X,,인버스,-2,KRX,ETF,,4710,-0.11,27483,종목명,ka40004
KR,253250,KIWOOM 200선물레버리지,,레버리지,2,KRX,ETF,F-KOSPI200,102550,-12.20,24420,종목명,ka40004
KR,306530,HANARO 코스닥150선물레버리지,,레버리지,2,KRX,ETF,F-KOSDAQ150,5860,-13.31,23308,종목명,ka40004
KR,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),,레버리지,2,KRX,ETF,,40605,-5.49,15285,종목명,ka40004
KR,252400,RISE 200선물레버리지,,레버리지,2,KRX,ETF,F-KOSPI200,105080,-12.15,14692,종목명,ka40004
KR,438320,TIGER 차이나항셍테크레버리지(합성 H),,레버리지,2,KRX,ETF,,5310,-3.19,11804,종목명,ka40004
KR,225030,TIGER 미국S&P500선물인버스(H),,인버스,-1,KRX,ETF,S&P 500 Futures Total Return Index,2340,+1.74,11132,종목명,ka40004
KR,225040,TIGER 미국S&P500레버리지(합성 H),,레버리지,2,KRX,ETF,S&P 500,63250,-2.08,9977,종목명,ka40004
KR,465620,ACE 미국빅테크TOP7 Plus인버스(합성),,인버스,-1,KRX,ETF,,6685,+2.14,7391,종목명,ka40004
KR,236350,TIGER 인도니프티50레버리지(합성),,레버리지,2,KRX,ETF,CNX NIFTY INDEX(PR),29515,-3.61,7004,종목명,ka40004
KR,306950,KODEX KRX300레버리지,,레버리지,2,KRX,ETF,KRX300,79200,-11.78,6813,종목명,ka40004
KR,304780,HANARO 200선물레버리지,,레버리지,2,KRX,ETF,F-KOSPI200,127550,-11.73,6207,종목명,ka40004
KR,491630,RISE 미국반도체인버스(합성 H),,인버스,-1,KRX,ETF,,5305,+1.53,5755,종목명,ka40004
KR,275750,RISE 코스닥150선물인버스,,인버스,-1,KRX,ETF,F-KOSDAQ150,2900,+6.42,5267,종목명,ka40004
KR,453820,KODEX 인도Nifty50레버리지(합성),,레버리지,2,KRX,ETF,CNX NIFTY INDEX(PR),12270,-2.04,4914,종목명,ka40004
KR,280940,KODEX 골드선물인버스(H),,인버스,-1,KRX,ETF,,3700,+1.93,3952,종목명,ka40004
KR,204480,TIGER 차이나CSI300레버리지(합성),,레버리지,2,KRX,ETF,CSI 300,28880,-2.09,3861,종목명,ka40004
KR,225130,ACE 골드선물 레버리지(합성 H),,레버리지,2,KRX,ETF,,41445,-5.31,2833,종목명,ka40004
KR,456680,TIGER 차이나전기차레버리지(합성),,레버리지,2,KRX,ETF,,7230,-4.11,2059,종목명,ka40004
KR,230480,KIWOOM 미국달러선물인버스2X,,인버스,-2,KRX,ETF,,4100,+0.12,1754,종목명,ka40004
KR,461910,PLUS 미국테크TOP10레버리지(합성),,레버리지,2,KRX,ETF,,36695,-5.79,1099,종목명,ka40004
KR,334700,RISE 팔라듐선물인버스(H),,인버스,-1,KRX,ETF,,3605,+5.87,1001,종목명,ka40004
KR,225800,KIWOOM 미국달러선물레버리지,,레버리지,2,KRX,ETF,,16875,-0.09,867,종목명,ka40004
KR,225050,TIGER 유로스탁스레버리지(합성 H),,레버리지,2,KRX,ETF,EURO STOXX50,15495,-3.40,733,종목명,ka40004
KR,261110,TIGER 미국달러선물레버리지,,레버리지,2,KRX,ETF,,17960,-0.06,609,종목명,ka40004
KR,225060,TIGER 이머징마켓MSCI레버리지(합성 H),,레버리지,2,KRX,ETF,MSCI EM Index,14790,-6.98,548,종목명,ka40004
KR,219900,ACE 중국본토CSI300레버리지(합성),,레버리지,2,KRX,ETF,CSI 300,4820,-3.02,445,종목명,ka40004
KR,217780,TIGER 차이나CSI300인버스(합성),,인버스,-1,KRX,ETF,CSI 300,5060,+0.20,358,종목명,ka40004
KR,196030,ACE 일본TOPIX레버리지(H),,레버리지,2,KRX,ETF,TOPIX,86650,-1.35,322,종목명,ka40004
KR,291680,RISE 차이나H선물인버스(H),,인버스,-1,KRX,ETF,,7985,+1.72,322,종목명,ka40004
KR,139660,KIWOOM 미국달러선물인버스,,인버스,-1,KRX,ETF,,7900,+0.32,162,종목명,ka40004
KR,451670,RISE 국채30년레버리지(합성),,레버리지,2,KRX,ETF,,11825,-0.50,106,종목명,ka40004
KR,167860,KIWOOM 국고채10년레버리지,,레버리지,2,KRX,ETF,KIS 국고채 10년(총수익),89630,-0.84,68,종목명,ka40004
KR,267490,RISE 미국장기국채선물레버리지(합성 H),,레버리지,2,KRX,ETF,,4960,-1.00,37,종목명,ka40004
KR,469530,RISE 미국달러선물인버스,,인버스,-1,KRX,ETF,,8845,+0.11,25,종목명,ka40004
KR,267450,RISE 미국장기국채선물인버스(H),,인버스,-1,KRX,ETF,,11080,+0.59,15,종목명,ka40004
KR,282000,RISE 국고채3년선물인버스,,인버스,-1,KRX,ETF,국채선물대표(F-KTF),115080,+0.13,12,종목명,ka40004
KR,304670,KODEX 미국30년국채울트라선물인버스(H),,인버스,-1,KRX,ETF,,12260,+0.29,11,종목명,ka40004
US,AALG,레버리지 셰어즈 아메리칸 항공 데일리 2배,LEVERAGE SHARES 2X LONG AAL DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AAOG,LEVERAGE SHARES AAOI DAILY 2X,LEVERAGE SHARES 2X LONG AAOI DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AAOX,TRADR AAOI DAILY 2X,TRADR 2X LONG AAOI DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AAPB,애플 2배 그래닛셰어즈 ETF,GRANITESHARES ETF TRUST 2X LONG AAPL DAI,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AAPU,애플 2배 레버리지 디렉시온 ETF,DIREXION DAILY AAPL BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AAPX,애플 레버리지 2배 터틀 캐피탈 ETF,ETF OPPORTUNITIES TR T REX 2X LONG APPLE,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ABNG,LEVERAGE SHARES ABNB DAILY 2X,LEVERAGE SHARES 2X LONG ABNB DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ACHX,CORGI ACHR DAILY 2X,CORGI ACHR 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ACLZ,CORGI ACLS DAILY 2X,CORGI ACLS 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ACMM,CORGI ACMR DAILY 2X,CORGI ACMR 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ADBG,어도비 데일리 2배 롱 레버리지 셰어즈 ETF,LEVERAGE SHARES 2X LONG ADBE DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ADBU,DIREXION ADBE DAILY 2X,DIREXION DAILY ADBE BULL 2X ETF,레버리지,2,NYSE,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ADIU,LEVERAGE SHARES ADI DAILY 2X,LEVERAGE SHARES 2X LONG ADI DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AEHG,LEVERAGE SHARES AEHR DAILY 2X,LEVERAGE SHARES 2X LONG AEHR DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AFRU,T-REX AFRM DAILY 2X,T-REX 2X LONG AFRM DAILY TARGET ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AGQ,은 2배 레버리지 프리셰어즈 ETF,PROSHARES TRUST II PROSHARES ULTRA SILVE,레버리지,2,NYSE,ETF,레버리지 원자재,,,,카테고리,usa10104+master
US,AIBU,인공지능 및 빅데이터 불 2배 디렉시온 ETF,DIREXION DAILY AI AND BIG DATA BULL 2X E,레버리지,2,NYSE,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AIQU,MICROSECTORS ARTIFICIAL INTELLIGENCE 3X,MICROSECTORS 3X LONG ARTIFICIAL INTELLIG,레버리지,3,NYSE,ETN,레버리지 주식,,,,카테고리,usa10104+master
US,ALA,CORGI ALAB DAILY 2X,CORGI ALAB 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ALBG,LEVERAGE SHARES ALB DAILY 2X,LEVERAGE SHARES 2X LONG ALB DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMA,DEFIANCE AMAT DAILY 2X,DEFIANCE DAILY TARGET 2X LONG AMAT ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMAA,CORGI AMZN DAILY 2X,CORGI AMZN 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMAU,LEVERAGE SHARES AMAT DAILY 2X,LEVERAGE SHARES 2X LONG AMAT DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMDC,CORGI AMD DAILY 2X,CORGI AMD 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMDG,AMD 데일리 2배 레버리지 셰어즈 ETF,LEVERAGE SHARES 2X LONG AMD DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMDL,AMD 2배 레버리지 그래닛셰어즈 ETF,GRANITESHARES ETF TRUST GRANITE 2X LONG,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMKL,DEFIANCE AMKR DAILY 2X,DEFIANCE DAILY TARGET 2X LONG AMKR ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMKX,CORGI AMKR DAILY 2X,CORGI AMKR 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMPU,DEFIANCE AMPX DAILY 2X,DEFIANCE DAILY TARGET 2X LONG AMPX ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMUU,AMD 데일리 2배 디렉시온 ETF,DIREXION DAILY AMD BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMYY,GRANITESHARES YIELDBOOST AMD 2X,GRANITESHARES YIELDBOOST AMD ETF,레버리지,2,NASDAQ,ETF,,,,,종목명,usa10104+master
US,AMZG,LEVERAGE SHARES AMZN DAILY 2X,LEVERAGE SHARES 2X LONG AMZN DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMZU,아마존 2배 레버리지 디렉시온 ETF,DIREXION DAILY AMZN BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AMZZ,아마존 레버리지 2배 그래닛셰어즈 ETF,GRANITESHARES ETF TRUST GRANITESHARES 2X,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ANEL,DEFIANCE ANET DAILY 2X,DEFIANCE DAILY TARGET 2X LONG ANET ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APHG,LEVERAGE SHARES APH DAILY 2X,LEVERAGE SHARES 2X LONG APH DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APHU,T-REX APH DAILY 2X,T-REX 2X LONG APH DAILY TARGET ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APLX,TRADR APLD DAILY 2X,TRADR 2X LONG APLD DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APMI,CORGI AMAT DAILY 2X,CORGI AMAT 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APPC,CORGI APP DAILY 2X,CORGI APP 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,APPX,앱러빈 데일리 2배 TRADR ETF,TRADR 2X LONG APP DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ARCX,TRADR ACHR DAILY 2X,TRADR 2X LONG ACHR DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ARMA,CORGI ARM DAILY 2X,CORGI ARM 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ARMG,ARM 홀딩스 데일리 2배 롱 레버리지 셰어즈,LEVERAGE SHARES 2X LONG ARM DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASMG,ASML 홀딩 데일리 2배 롱 레버리지 셰어즈,LEVERAGE SHARES 2X LONG ASML DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASMU,DIREXION ASML DAILY 2X,DIREXION DAILY ASML BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASMZ,CORGI ASML DAILY 2X,CORGI ASML 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASTG,LEVERAGE SHARES ASTS DAILY 2X,LEVERAGE SHARES 2X LONG ASTS DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASTT,CORGI ASTS DAILY 2X,CORGI ASTS 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASTX,Tradr AST 스페이스모바일 데일리 2배 ETF,TRADR 2X LONG ASTS DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASTY,DEFIANCE ASTS DAILY 2X,DEFIANCE DAILY TARGET 2X LONG ASTS ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,ASUP,T-REX ASTS DAILY 2X,T-REX 2X LONG ASTS DAILY TARGET ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVAZ,AVALANCHE 2X,2X AVALANCHE ETF,레버리지,2,AMEX,ETF,,,,,종목명,usa10104+master
US,AVGC,CORGI AVGO DAILY 2X,CORGI AVGO 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVGG,브로드컴 데일리 2배 롱 레버리지 셰어즈 E,LEVERAGE SHARES 2X LONG AVGO DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVGU,GRANITESHARES AVGO DAILY 2X,GRANITESHARES 2X LONG AVGO DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVGX,브로드컴 2배 롱 디파이언스 ETF,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVL,브로드컴 데일리 2배 롱 디렉시온 ETF,DIREXION DAILY AVGO BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AVXX,DEFIANCE AVAV DAILY 2X,DEFIANCE DAILY TARGET 2X LONG AVAV ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AXPG,LEVERAGE SHARES AXP DAILY 2X,LEVERAGE SHARES 2X LONG AXP DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AXTC,CORGI AXTI DAILY 2X,CORGI AXTI 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AXTL,LEVERAGE SHARES AXTI DAILY 2X,LEVERAGE SHARES 2X LONG AXTI DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AXTU,T-REX AXTI DAILY 2X,T-REX 2X LONG AXTI DAILY TARGET ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AXTX,TRADR AXTI DAILY 2X,TRADR 2X LONG AXTI DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,AZYY,GRANITESHARES YIELDBOOST AMZN 2X,GRANITESHARES YIELDBOOST AMZN ETF,레버리지,2,NASDAQ,ETF,,,,,종목명,usa10104+master
US,BABC,CORGI BABA DAILY 2X,CORGI BABA 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BABU,DIREXION BABA DAILY 2X,DIREXION DAILY BABA BULL 2X ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BABX,알리바바 2배 레버리지 그래닛셰어즈 ETF,GRANITESHARES ETF TRUST 2X LONG BABA DAI,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BAIG,빅베어 AI 홀딩스 2배 레버리지셰어즈 ETF,LEVERAGE SHARES 2X LONG BBAI DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BBUL,GRANITESHARES BB DAILY 2X,GRANITESHARES 2X LONG BB DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BBYY,GRANITESHARES YIELDBOOST BABA 2X,GRANITESHARES YIELDBOOST BABA ETF,레버리지,2,NASDAQ,ETF,,,,,종목명,usa10104+master
US,BDCX,MVIS 배당주 레버리지 1.5배 이트랙스 ETN,UBS AG LONDON ETRACS QTY PAY 1.5X LEV MK,레버리지,1.5,NYSE,ETN,레버리지 주식,,,,카테고리,usa10104+master
US,BEC,CORGI BE DAILY 2X,CORGI BE 2X DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BEG,LEVERAGE SHARES BE DAILY 2X,LEVERAGE SHARES 2X LONG BE DAILY ETF,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BEGS,RAREVIEW CRYPTOCURRENCY & PRECIOUS META,RAREVIEW 2X BULL CRYPTOCURRENCY & PRECIO,레버리지,2,AMEX,ETF,,,,,종목명,usa10104+master
US,BEX,TRADR BE DAILY 2X,TRADR 2X LONG BE DAILY ETF,레버리지,2,AMEX,ETF,레버리지 주식,,,,카테고리,usa10104+master
US,BIB,나스닥 생명공학 2배 프로셰어즈 ETF,PROSHARES TRUST PROSHARES ULTRA NASDAQ B,레버리지,2,NASDAQ,ETF,레버리지 주식,,,,카테고리,usa10104+master
