uid,버킷,_bkey,시간,제목,분류,영향,요약,관련섹터,언론사,링크
5b8276bb477c1df818a0cc25317bd162,08:30~09:00,08:30,2026-06-06 08:49:00,"환율 왜 안떨어질까…""달러당 1500원대 머물 수도""[주末머니]",매크로/금리,부정,중동 리스크 완화돼도 원화 약세 압력 여전 외국인 주식 매도·대미 투자 부담 지속 달러화 대비 원화 환율이 종전 기대감 등에 따라 단기 조정을 받더라도 상승 추세는 유지될 것이라는 전망이 나왔다. 외국인 주식 매도세와 대미 투자 확대에 따른 달러 수요 등이 이어지면서 1500원대에 안착할 수 있다는 분석이다.,"은행, 환율민감주, 수출주",아시아경제,https://n.news.naver.com/mnews/article/277/0005772607
c42ebd90d6be8e7199a7574ae5ae1b2d,08:30~09:00,08:30,2026-06-06 08:33:42,"비트코인 한때 6만 달러 붕괴…""AI가 가상화폐 밀어내 VS 저점 매수 기회""",코인/디지털,부정,가상화폐 시가총액 1위 종목인 비트코인 가격이 심리적 마지노선인 6만 달러 아래로 고꾸라졌다. 최고점과 비교하면 반토막 이상 내려앉은 수치다.,"가상자산, 증권",아시아경제,https://n.news.naver.com/mnews/article/277/0005772603
7f452e2812c9b94aff4e21a1d81e3d0d,08:30~09:00,08:30,2026-06-06 08:32:14,피지컬 AI 테마 부상…삼전·현차 담은 채권혼합형 상품 등장[ETF언박싱],AI/반도체,혼재,"삼성전자·현대차 각각 25% 편입 나머지 50%는 초단기 우량채 투자 매일 리밸런싱으로 주식·채권 비중 관리 채권혼합형 분류…퇴직연금 100% 편입 가능 [이데일리 박순엽 기자] 피지컬 인공지능(AI) 관련 기업에 투자하면서 채권을 함께 편입하는 상장지수펀드(ETF)가 상장됐다. AI가 로봇, 자동차, 제조설비 등 현실 세계의 기기와 결합하는 피지컬 AI가 증시에서 주요 테마 중 하나로 거론","AI_메모리, AI_GPU, 반도체장비",이데일리,https://n.news.naver.com/mnews/article/018/0006299055
aa9a81da9782285f1be02375d21d4c03,08:00~08:30,08:00,2026-06-06 08:12:15,삼성전자 30조 판 외국인…'리밸런싱' 자금 어디로?,AI/반도체,부정,서울 삼성전자 서초사옥_[연합뉴스 자료사진] 코스피가 단기 급등 이후 조정 국면에 들어선 가운데 외국인 투자자들이 대형 반도체주를 중심으로 대규모 차익 실현에 나선 것으로 나타났다. 6일 한국거래소에 따르면 외국인은 지난 5월 7일부터 6월 5일까지 20거래일 연속 순매도를 이어갔다.,"AI_메모리, AI_GPU, 반도체장비",이코노미스트,https://n.news.naver.com/mnews/article/243/0000098767
3d62928ccfe4b8a92421f03bd3cac07c,08:00~08:30,08:00,2026-06-06 08:02:17,"폭락장 부른 '이 종목'…증권가선 ""매수 기회""",AI인프라/전력,긍정,"[클릭!e해외주식] Broadcom 반도체 시장 핵심 수혜주, 역대급 실적에도 폭락 AI 매출 급증·수주 300억$ 돌파…실적 예상치 상회 연간 AI 매출 가이던스 시장 기대 밑돌며 주가 급락 ""수요둔화 아닌 공급 리드타임 문제…수주 확대 주목"" [이데일리 신하연 기자] 인공지능(AI) 반도체 시장의 핵심 수혜주로 꼽히는 브로드컴(티커명 AVGO) 주가가 실적 발표 이후 급락했다. 시장 예상","전력기기, 원전, 데이터센터",이데일리,https://n.news.naver.com/mnews/article/018/0006299048
e79deda3bf4b4ee69ef9468a178f54f1,08:00~08:30,08:00,2026-06-06 08:01:10,비트코인 32개 팔았을 뿐인데…시장 뒤흔든 스트래티지,코인/디지털,부정,상징적 매도에 시장 출렁…현물 ETF 순유출 장기화 ⓒ데일리안 AI 삽화 이미지 [데일리안 = 김민희 기자] 세계 최대 가상 자산 재무전략 미국 기업인 스트래티지(Strategy)의 비트코인 매도가 가상자산 시장 투자심리를 흔들고 있다. 매도 규모는 전체 보유량 대비 극히 일부에 불과했지만 비트코인 최대 보유 기업이 처음으로 매도에 나섰다는 상징성이 시장에 충격을 주면서 약세장이 더욱 가속화,"가상자산, 증권",데일리안,https://n.news.naver.com/mnews/article/119/0003098318
8bbe012747aee09ec7612e62fc142c2f,08:00~08:30,08:00,2026-06-06 08:00:05,스페이스X 상장 임박…'우주테크' ETF 자금유입 '쑥'[머니플로우],AI/반도체,혼재,"미래에셋證, 전문투자자 대상 공모주 청약 시작…개미, ETF·펀드 통한 간접 투자 가능 투자자예탁금 3주만에 최대로…신용·대차거래잔고, 최고치 찍고 소폭 하락 차세대 중형위성 2호 탑재 우주발사체 '팰컨9' 발사 성공 (서울=연합뉴스) 스페이스X의 발사체 '팰컨9'이 한국시간으로 3일 오후 4시(현지시각 3일 오전 0시) 미국 캘리포니아주 반덴버그 우주군 기지에서 발사되고 있다. 2026.5","AI_메모리, AI_GPU, 반도체장비",연합뉴스,https://n.news.naver.com/mnews/article/001/0016122796
652b473694b941aca5241e825f78044b,08:00~08:30,08:00,2026-06-06 08:00:00,"지분 사들이는 금융권…코인시장, '쩐의 전쟁' 시작[가상자산 대전환①]",코인/디지털,혼재,"하나銀·삼성 이어 한투도 가상자산 플랫폼 지분투자 나서 레거시, 인프라 확보 위한 자금 투입…거래소 위상 달라져 협력 모멘텀 강화…""STO 등 신사업 선점 노린 전략 판단"" [서울=뉴시스] 조성우 기자 = 사진은 이날 서울 시내 한 시중은행 ATM기기 모습. xconfind@newsis.com [서울=뉴시스] 김진아 기자 = 그간 가상자산을 투기성 자산으로 분류하며 보수적인 태도를 유지해 온","가상자산, 증권",뉴시스,https://n.news.naver.com/mnews/article/003/0013990251
01a6ee58b1c1aabe249bb0574465ea7b,07:00~07:30,07:00,2026-06-06 07:25:06,“여기까지 올라오니 1만피가 저기 보이네”…6월 쉬어가도 천장 열려있다,AI/반도체,긍정,"증권사 연간 목표지수 잇단 상향 올해 AI·반도체 이익 탄탄 코스피 12개월 선행 PER 7배 선진국 19배·신흥국 11배 불과 “지금은 몇 까지 오를까 보다 언제까지 상승 지속될까 물어야” 코스피가 상승 출발해 장중 사상 처음 8,600선을 넘어선 1일 서울 중구 하나은행 딜링룸에서 직원이 업무를 보고 있다. [연합뉴스] 올해 하반기 진입을 앞두고 국내 주요 증권사들이 코스피 목표지수를 잇","AI_메모리, AI_GPU, 반도체장비",매일경제,https://n.news.naver.com/mnews/article/009/0005690053
23ead37bc5a1822f67e0529a677b05b1,07:00~07:30,07:00,2026-06-06 07:18:57,브로드컴發 후폭풍 서학개미 '비명'…마이크론 13%↓,매크로/금리,긍정,"사진=연합뉴스 미국의 고용시장 호조가 연방준비제도(Fed·연준)의 금리 인상 결정으로 이어질 것이란 예상이 확산하면서 5일(현지시간) 뉴욕증시와 미국채, 국제 금값이 동반 급락했다. 이날 뉴욕증시에서 다우존스30 산업평균지수는 전 거래일보다 695.15포인트(-1.35%) 내린 5만866.78에 거래를 마쳤다.","은행, 환율민감주, 수출주",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254478
9be98f52d5d5b43db56d0e4dccea603a,07:00~07:30,07:00,2026-06-06 07:14:05,'깜짝 고용'에 번진 금리인상 기대…주식·국채·금 '트리플 약세',매크로/금리,긍정,"미국 고용시장이 예상을 크게 웃도는 호조를 보이며 연방준비제도(Fed·연준)의 연내 금리 인상 가능성이 부각되자 5일(현지시간) 뉴욕증시와 미 국채, 국제 금값이 일제히 급락했다. 이날 뉴욕증시에서 다우존스30 산업평균지수는 전장보다 695.15포인트(-1.35%) 밀린 50,866.78에 거래를 끝냈다.","은행, 환율민감주, 수출주",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254477
fcec4d5b4322d9d0a59a67057732fbc2,07:00~07:30,07:00,2026-06-06 07:01:18,‘젠슨황 깐부株’ 효과 벌써 끝…두산로보틱스 16% 급락[코주부],로봇,긍정,피지컬 AI 협력 기대에 급등 후 차익실현 브로드컴 쇼크 겹쳐 AI 관련주 전반 약세 두산로보틱스가 제조한 협동로봇. 두산로보틱스 제공 젠슨 황 엔비디아 최고경영자(CEO)의 방한 수혜주로 주목받았던 두산로보틱스가 이틀 연속 급락하며 최근 상승분을 상당 부분 반납했다.,"로봇, AI_인프라",서울경제,https://n.news.naver.com/mnews/article/011/0004628228
635d1b59886413bde1e67ebfd4f50051,06:30~07:00,06:30,2026-06-06 06:31:09,‘오세훈 테마주’ 하루천하…진양화학 9%·천일고속 4% 하락[이런국장 저런주식],바이오,긍정,재선 확정에 급등했던 관련주 하루 만에 약세 정치 이벤트 종료 후 차익실현 매물 쏟아져 세훈 서울시장이 4일 서울시청 로비에서 꽃다발을 받은 뒤 기뻐하고 있다. 연합뉴스 6·3 지방선거에서 재선에 성공한 오세훈 서울시장 관련 테마주가 하루 만에 급락세로 돌아섰다.,제약바이오,서울경제,https://n.news.naver.com/mnews/article/011/0004628223
e644bec0369e374e4924141b1229e206,06:00~06:30,06:00,2026-06-06 06:15:08,"“코스피 로봇 대장주, 다들 아시죠?”...‘현대차 이름표’ 단 ETF 봇물",AI/반도체,혼재,집중형·혼합형…상품군 다양 車 넘어 피지컬AI 강자로 인기 ETF 상품명으로 들어가는 건 반도체 대형주 제외하면 유일 삼성전자·SK하이닉스에 이어 단일종목 레버리지 출시 유력 국내 자본시장에서 삼성전자·SK하이닉스 등 반도체 대형주에 집중됐던 단일 종목과 핵심 밸류체인 투자 열풍이 이번에는 현대차그룹으로 확산되고 있다. 최근 주요 자산운용사들이 현대차를 전면에 내세운 ‘고압축’ 상장지수펀드(,"AI_메모리, AI_GPU, 반도체장비",매일경제,https://n.news.naver.com/mnews/article/009/0005690047
a499a42ef4fabcef69e9db5dcdd7c4bc,06:00~06:30,06:00,2026-06-06 06:01:13,"""한 방에 먹으려다 탈 났다""…삼전닉스 출렁이자 레버리지 '우수수'",AI/반도체,부정,"사진=연합뉴스 [파이낸셜뉴스] ""더 오른다고 해서 들어갔는데, 무작정 버티면 되는 걸까요?"" 삼성전자·SK하이닉스 급락에 개인 투자자들이 울상 짓고 있다. 인공지능(AI)발 반도체 초호황 기대감에 주가 상승에 베팅했지만, 뒤늦게 진입한 투자자들의 경우 마이너스 수익률을 면치 못하게 됐다.","AI_메모리, AI_GPU, 반도체장비",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005531251
dd1290282c020a5e9252e1fef67ebd62,06:00~06:30,06:00,2026-06-06 06:00:02,"허풍률 81%에도 ‘조만장자’ 임박…머스크의 꿈, 왜 잘 팔릴까?",AI/반도체,혼재,일론 머스크 3D 프린팅 미니어처 모델과 SpaceX 로고를 함께 촬영했다. 로이터=연합뉴스 일론 머스크 테슬라 최고경영자(CEO)가 인류 최초의 ‘조만장자(Trillionaire)’ 등극을 눈앞에 뒀다.,"AI_메모리, AI_GPU, 반도체장비",중앙일보,https://n.news.naver.com/mnews/article/025/0003528397
935801a3048fd6027579aa27315a39b7,06:00~06:30,06:00,2026-06-06 06:00:00,"피지컬AI 올라탄 현대차…""토요타 넘어 테슬라와 경쟁"" [종목현미경]",로봇,중립,"""엔비디아와 협업 통해 자체 자율주행 브랜드와 파운드리 병행"" ""로봇 분야에서는 중국 전기차 보다 앞서…AI 수준은 비슷"" HMG 드라이빙 익스피리언스 센터 주행시험장을 달리는 현대 아이오닉 6 N(오른쪽)과 기아 EV6 GT(왼쪽), 제네시스 GV60 마그마(가운데) (현대차·기아 제공. 재판매 및 DB 금지) 2026.5.6 ⓒ 뉴스1 (서울=뉴스1) 손엄지 기자 = 현대차가 도요타를 넘","로봇, AI_인프라",뉴스1,https://n.news.naver.com/mnews/article/421/0008988505
3d1bb98da955db4fc338a8666de01688,05:00~05:30,05:00,2026-06-06 05:08:11,[속보]나스닥 4.2% 급락…AI 거품 우려·금리인상 전망에 투매,매크로/금리,부정,"예상 웃돈 고용에 연내 금리인상 베팅 급증 필라델피아 반도체지수 9% 폭락…나스닥 1년여 만에 최대 낙폭 비트코인 6만달러 붕괴…주식·채권·가상자산 동반 급락 [뉴욕=이데일리 김상윤 특파원] 인공지능(AI) 열기에 랠리를 펼쳐왔던 뉴욕증시가 급락했다. 예상보다 훨씬 강한 고용지표가 발표되면서 연방준비제도(Fed)의 금리 인상 가능성이 급부상한 가운데, 인공지능(AI) 열풍으로 급등했던 반도체","은행, 환율민감주, 수출주",이데일리,https://n.news.naver.com/mnews/article/018/0006299025
75617d5319c750dd0156660bade98bfa,05:00~05:30,05:00,2026-06-06 05:00:00,"""10종목 중 4개 겨우 상승”…다음주 코스피 변동성 ‘경고등’",매크로/금리,긍정,"스페이스X 상장, 미국 CPI 등 대외 변수 주목 개인 투자자 수급, 업종별 선별 투자 필요 단기 변동성 국면 진입 관측 [쩐널리즘] 코스피가 반도체 주도 급등 이후 단기 변동성 국면에 접어들 수 있다는 분석이 나온다. 6일 대신증권은 현재 코스피의 상승종목비율(ADR·20일 이동평균)이 40%대까지 떨어졌다고 밝혔다.","은행, 환율민감주, 수출주",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254476
a7891d1a372a19461abfa64b3bba59f5,04:00~04:30,04:00,2026-06-06 04:26:10,금리인상 베팅에 AI 랠리 급제동…나스닥 4% 급락중,매크로/금리,혼재,"5월 고용 17만2000명 증가…금리 인상 전망 급부상 나스닥 4%↓·반도체지수 9%↓…작년 4월 이후 최대 낙폭 스와프시장 ""연내 1회 인상"" 완전 반영 비트코인 6만달러 붕괴…주식·채권·가상자산 동반 급락 [뉴욕=이데일리 김상윤 특파원] 뉴욕증시가 5일(현지시간) 강한 고용지표 충격에 급락하고 있다. 시장이 연방준비제도(Fed)의 다음 행보를 금리 인상으로 재조정하는 가운데 올해 증시 상","은행, 환율민감주, 수출주",이데일리,https://n.news.naver.com/mnews/article/018/0006299022
f16c6517813bce3326253977f4b527f8,00:00~00:30,00:00,2026-06-06 00:01:42,"'현정은 백기사' H&Q, 현대엘리 투자금 전량 회수[주간사모펀드]",AI/반도체,긍정,"어펄마 등 PEF, MBK 넥스플렉스 매각 숏리스트 올라 PTA PE, 5년 만에 한국펀드파트너스 매각 절차 돌입 6일 투자은행업계에 따르면 H&Q코리아는 지난 2023년 쉰들러홀딩스와 소송 패소로 배상금 마련에 어려움을 겪는 현대엘리베이터를 구원하기 위해 투자한 금액을 최근 전액 회수했다. /현대엘리베이터 [더팩트ㅣ이한림 기자] 현대엘리베이터에 경영진 우호 지분을 투자하면서 현정은 현대그룹","AI_메모리, AI_GPU, 반도체장비",더팩트,https://n.news.naver.com/mnews/article/629/0000505487
5e8b01cd92ba0adde8c8762bf9800cd0,00:00~00:30,00:00,2026-06-06 00:00:00,"삼전닉스 60조 팔고 '눈길' 준 곳이…""비결이 뭐야?""",AI/반도체,부정,"외인 20일째 매도…두산로보·파두·삼성SDI 러브콜 반도체→비 반도체 '순환매' 본격?…투자자 '촉각' ""펀더멘탈 악재 없어""…주도주 신뢰 '굳건' 평가도 삼성전자와 SK하이닉스 그래픽. 사진=한경DB 5일 서울 홍대 앞은 젠슨 황 엔비디아 최고경영자(CEO)와 국내 대기업 총수들의 '삼소(삼겹살·소주) 회동'으로 '불금'을 불태웠지만, 이에 앞서 마감한 주식시장은 '검은 금요일'로 장식됐다","AI_메모리, AI_GPU, 반도체장비",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254475
