2026.8월1주,2026.8월2주,2026.8월3주,2026.8월4주,2026.8월5주
"화장품(228790)
TUR
XLE
PDBC
HYG","XLE
TUR
PDBC
은행주(091170)
반도체(091160)","PDBC
XLE
INDA
은행주(091170)
VNM","은행주(091170)
케모멘(325020)
증권주(102970)
PDBC
원자력(434730)","TUR
금현물(411060)
은행주(091170)"
2023.8월1주,2023.8월2주,2023.8월3주,2023.8월4주,2023.8월5주
"VNM
TUR
항셈테(371160)
반도체(091160)
원자력(434730)","VNM
XLE
TUR
바이오(244580)
항셈테(371160)","TUR
화장품(228790)
VNM
XLE
바이오(244580)","TUR
화장품(228790)","TUR
화장품(228790)
XLE
PDBC
HYG"
2023.7월2주,2023.7월3주,2023.7월4주,2023.7월5주,2023.7월6주
"XLY
자동차(091180)
ARKW
ARKF
GREK","조선주(139230)
GREK
ARKF
ARKW
JETS","ARKK
ARKW
ARKF
코스닥(229200)
QQQ","GREK
이차전(305720)
VNM
EWZ
에너지(117460)","VNM
XLB
EWZ
철강주(117680)
VOO"
2023.6월1주,2023.6월2주,2023.6월3주,2023.6월4주,2023.6월5주
"XLK
QQQ
반도체(091160)
XLC
SMH","XLY
QQQ
CARZ
조선주(139230)
BOTZ","조선주(139230)
EWZ
GREK
반도체(091160)
CARZ","조선주(139230)
EWZ
티모멘(147970)
XLY
나스닥(449190)","VNM
XLY
JETS
XLI
PDP"
2023.5월1주,2023.5월2주,2023.5월3주,2023.5월4주,2023.5월5주
"EWL
EWW
XLP
EIDO
티모멘(147970)","EWW
QQQ
EWL
VUG
티모멘(147970)","니케이(241180)
QQQ
BOTZ
EWJ
XLK","톱반도(446770)
QQQ
반도체(091160)
자동차(091180)
XLC","반도체(091160)
톱반도(446770)
QQQ
SMH
BOTZ"
2023.4월2주,2023.4월3주,2023.4월4주,2023.4월5주,
"이차전(305720)
코스닥(229200)
에너지(117460)
건설주(117700)
EWP","코스닥(229200)
이차전(305720)
에너지(117460)
SLV
신재생(377990)","건설주(117700)
철강주(117680)
신재생(377990)
조선주(139230)
이차전(305720)","니케이(241180)
EWL
조선주(139230)
XLP
유로스(195930)",
2023.3월1주,2023.3월2주,2023.3월3주,2023.3월4주,2023.3월5주
"GREK
이차전(305720)
TUR
금현물(411060)
EWW","이차전(305720)
코스닥(229200)
에너지(117460)
EWW
건설주(117700)","금현물(411060)
건설주(117700)
GLD
IEF
에너지(117460)","XLK
SMH
QQQ
금현물(411060)
SOXX","코스닥(229200)
이차전(305720)
반도체(091160)
에너지(117460)
BOTZ"
2023.2월1주,2023.2월2주,2023.2월3주,2023.2월4주,2023.2월5주
"BOTZ
EWG
GREK
EWI
EWQ","SMH
유로스(195930)
SOXX
GREK
BOTZ","GREK
EWI
ITA
화장품(228790)
PTF","철강주(117680)
코스닥(229200)
GREK
DBA
에너지(117460)","GREK
철강주(117680)"
2023.1월2주,2023.1월3주,2023.1월4주,2023.1월5주,2023.1월6주
"GREK
THD
TUR
GLD
EWP","EWI
EWG
EWP
FEZ
EZU","화장품(228790)
증권주(102970)
EWG
EPHE
ENZL","EWY
FXI
PICK
ENZL
GREK","GREK
EWI
EWQ
EWT
BOTZ"
2022.12월1주,2022.12월2주,2022.12월3주,2022.12월4주,2022.12월5주
"TUR
유로스(195930)
XLV
PICK
EWI","SLV
PICK
유로스(195930)
LQD
ITA","SLV
GREK
TUR
EWH
XLV","TUR
GREK
SLV
GLD
AGG","TUR
GREK
THD
SLV
증권주(102970)"
2022.11월1주,2022.11월2주,2022.11월3주,2022.11월4주,2022.11월5주
"XLE
이차전(305720)
EWW
QMOM
TUR","TUR
ITA
EWW
이차전(305720)
GREK","EWW
TUR
이차전(305720)
유로스(195930)
XLE","유로스(195930)
TUR
VYM
XLV
FEZ","TUR
유로스(195930)
XLV
FEZ
VYM"
2022.10월2주,2022.10월3주,2022.10월4주,2022.10월5주,2022.10월6주
"금현물(411060)
TUR
SLV
XLE","TUR
금현물(411060)","TUR
XLE
QMOM
EWZ","XLE
QMOM
TUR
EWW
이차전(305720)","QMOM
XLE
이차전(305720)
EWW
ITA"
2022.9월1주,2022.9월2주,2022.9월3주,2022.9월4주,
"TUR
신재생(377990)","TUR
EIDO
자동차(091180)","EIDO
TUR
금현물(411060)
자동차(091180)
XLU",EIDO,
2022.8월1주,2022.8월2주,2022.8월3주,2022.8월4주,2022.8월5주
"ICLN
TAN
자동차(091180)
XLU
LIT","ICLN
LIT
TAN
XLU
IBB","신재생(377990)
UNG
XLU
LIT
ITA","TUR
QMOM
조선주(139230)
UNG
신재생(377990)","신재생(377990)
조선주(139230)
TUR
QMOM
XLE"
2022.7월4주,2022.7월5주,,,
"UNG
바이오(244580)
ICLN","UNG
자동차(091180)
XLV
TAN
ICLN",,,
2022.6월1주,2022.6월2주,2022.6월3주,2022.6월4주,2022.6월5주
"XLE
PDBC
신재생(377990)
EWZ
EWP","XLE
PDBC
GMOM
신재생(377990)
에너지(117460)",PDBC,금현물(411060),"항셈테(371160)
FXI"
2022.5월2주,2022.5월3주,2022.5월4주,2022.5월5주,2022.5월6주
"EIDO
UNG
KSA
PDBC
XLE","UNG
PDBC","UNG
XLE","UNG
XLE
PDBC
EWP
EWZ","신재생(377990)
XLE
PDBC
EWP
EWW"
2022.4월1주,2022.4월2주,2022.4월3주,2022.4월4주,2022.4월5주
"EWZ
EWW
XLU
EZA
REMX","XLU
UNG
KSA
TUR
EWZ","UNG
KSA
XLP
DBA
TUR","철강주(117680)
XLE
티모멘(147970)
TUR
KSA","EIDO
철강주(117680)
티모멘(147970)
XLP
JETS"
2022.3월1주,2022.3월2주,2022.3월3주,2022.3월4주,2022.3월5주
"PDBC
PICK
GLD
XLE
KSA","XLE
GLD
DBA
GMOM
SLV","EIDO
XLU
EWA
XLE
EZA","EWC
EWW
EZA
EWZ
EWA","EWZ
EWW
EWC
KSA
XLU"
2022.2월1주,2022.2월2주,2022.2월3주,2022.2월4주,2022.2월5주
"XLE
PDBC
DBA
KSA
EWZ","DBA
GREK
XLE
PDBC
EWU","EZA
은행주(091170)
PDBC
THD
GLD","GLD
PDBC
DBA
KSA
은행주(091170)","PDBC
EIDO
GLD
SLV"
2022.1월2주,2022.1월3주,2022.1월4주,2022.1월5주,2022.1월6주
"VYM
VTV
VNM
XLP
SCHD","VYM
VTV
EWU
XLE
SCHD","KSA
PDBC
XLE
EWU
DBA","PDBC
KSA
GLD
DBA
XLE","PDBC
XLE
KSA
EWZ"
