2026.8월1주,2026.8월2주
"유로스(195930)
화장품(228790)
에센피(449180)","화장품(228790)
에센피(449180)"
"원자력(434730)
화장품(228790)
티모멘(147970)","원자력(434730)
항셈테(371160)
화장품(228790)","항셈테(371160)
조선주(139230)
화장품(228790)","화장품(228790)
원자력(434730)
신재생(377990)","원자력(434730)
톱반도(446770)
신재생(377990)"
2024.4월1주,2024.4월2주,2024.4월3주,2024.4월4주,2024.4월5주
"반소부(455850)
반도체(091160)
원자력(434730)","원자력(434730)
금현물(411060)
반소부(455850)","원자력(434730)
금현물(411060)
인디아(453810)","방산주(449450)
원자력(434730)
조선주(139230)","원자력(434730)
조선주(139230)
방산주(449450)"
2024.3월2주,2024.3월3주,2024.3월4주,2024.3월5주,
"톱반도(446770)
유로스(195930)
니케이(241180)","은행주(091170)
원자력(434730)
반소부(455850)","원자력(434730)
조선주(139230)
코스닥(229200)","원자력(434730)
반소부(455850)
조선주(139230)",
2024.2월1주,2024.2월2주,2024.2월3주,2024.2월4주,2024.2월5주
"은행주(091170)
유로스(195930)
톱반도(446770)","자동차(091180)
케모멘(325020)
은행주(091170)","톱반도(446770)
자동차(091180)
니케이(241180)","자동차(091180)
방산주(449450)
톱반도(446770)","방산주(449450)
톱반도(446770)
니케이(241180)"
2024.1월1주,2024.1월2주,2024.1월3주,2024.1월4주,2024.1월5주
"반도체(091160)
반소부(455850)
인디아(453810)","인디아(453810)
코스닥(229200)
니케이(241180)","니케이(241180)
인디아(453810)
톱반도(446770)","톱반도(446770)
나스닥(449190)
에센피(449180)","톱반도(446770)
에센피(449180)
은행주(091170)"
2023.12월1주,2023.12월2주,2023.12월3주,2023.12월4주,2023.12월5주
"반소부(455850)
반도체(091160)
에센피(449180)","유로스(195930)
금현물(411060)
증권주(102970)","증권주(102970)
유로스(195930)
인디아(453810)","톱반도(446770)
나스닥(449190)
에센피(449180)","톱반도(446770)
반도체(091160)
코스피(069500)"
2023.11월1주,2023.11월2주,2023.11월3주,2023.11월4주,2023.11월5주
금현물(411060),"화장품(228790)
증권주(102970)
반도체(091160)","증권주(102970)
톱반도(446770)
반도체(091160)","나스닥(449190)
톱반도(446770)
반도체(091160)","나스닥(449190)
유로스(195930)
반소부(455850)"
2023.10월4주,2023.10월5주,2023.10월6주,,
"금현물(411060)
은행주(091170)",금현물(411060),금현물(411060),,
2023.9월1주,2023.9월2주,2023.9월3주,2023.9월4주,2023.9월5주
"화장품(228790)
은행주(091170)
금현물(411060)","은행주(091170)
반도체(091160)
철강주(117680)","은행주(091170)
케모멘(325020)
증권주(102970)","은행주(091170)
케모멘(325020)
증권주(102970)","금현물(411060)
은행주(091170)"
2023.8월1주,2023.8월2주,2023.8월3주,2023.8월4주,2023.8월5주
"항셈테(371160)
케모멘(325020)
반도체(091160)","바이오(244580)
항셈테(371160)
화장품(228790)","화장품(228790)
바이오(244580)
티모멘(147970)",화장품(228790),"화장품(228790)
증권주(102970)"
2023.7월2주,2023.7월3주,2023.7월4주,2023.7월5주,2023.7월6주
"자동차(091180)
티모멘(147970)
반도체(091160)","조선주(139230)
티모멘(147970)
자동차(091180)","나스닥(449190)
에센피(449180)
코스닥(229200)","코스닥(229200)
이차전(305720)
건설주(117700)","에센피(449180)
철강주(117680)
케모멘(325020)"
2023.6월1주,2023.6월2주,2023.6월3주,2023.6월4주,2023.6월5주
"반도체(091160)
톱반도(446770)
코스피(069500)","나스닥(449190)
코스닥(229200)
코스피(069500)","조선주(139230)
반도체(091160)
나스닥(449190)","조선주(139230)
톱반도(446770)
티모멘(147970)","자동차(091180)
반도체(091160)
조선주(139230)"
2023.5월1주,2023.5월2주,2023.5월3주,2023.5월4주,2023.5월5주
"니케이(241180)
금현물(411060)
티모멘(147970)","금현물(411060)
니케이(241180)
티모멘(147970)","니케이(241180)
자동차(091180)
금현물(411060)","톱반도(446770)
반도체(091160)
자동차(091180)","반도체(091160)
톱반도(446770)
조선주(139230)"
2023.4월2주,2023.4월3주,2023.4월4주,2023.4월5주,
"이차전(305720)
코스닥(229200)
에너지(117460)","코스닥(229200)
에너지(117460)
이차전(305720)","건설주(117700)
신재생(377990)
철강주(117680)","니케이(241180)
조선주(139230)
유로스(195930)",
2023.3월1주,2023.3월2주,2023.3월3주,2023.3월4주,2023.3월5주
"금현물(411060)
이차전(305720)
코스닥(229200)","이차전(305720)
코스닥(229200)
에너지(117460)","건설주(117700)
금현물(411060)
이차전(305720)","금현물(411060)
코스닥(229200)
건설주(117700)","코스닥(229200)
이차전(305720)
반도체(091160)"
2023.2월1주,2023.2월2주,2023.2월3주,2023.2월4주,2023.2월5주
"증권주(102970)
코스피(069500)
건설주(117700)","유로스(195930)
코스닥(229200)
자동차(091180)","이차전(305720)
유로스(195930)
증권주(102970)","철강주(117680)
코스닥(229200)
에너지(117460)",철강주(117680)
2023.1월2주,2023.1월3주,2023.1월4주,2023.1월5주,2023.1월6주
화장품(228790),"은행주(091170)
유로스(195930)
화장품(228790)","증권주(102970)
화장품(228790)
유로스(195930)","화장품(228790)
증권주(102970)
케모멘(325020)","케모멘(325020)
코스피(069500)
증권주(102970)"
2022.12월1주,2022.12월2주,2022.12월3주,2022.12월5주,
"유로스(195930)
철강주(117680)
은행주(091170)","화장품(228790)
유로스(195930)
은행주(091170)","화장품(228790)
은행주(091170)
항셈테(371160)","증권주(102970)
화장품(228790)",
2022.11월1주,2022.11월2주,2022.11월3주,2022.11월4주,2022.11월5주
이차전(305720),"이차전(305720)
건설주(117700)
유로스(195930)","유로스(195930)
건설주(117700)
이차전(305720)","유로스(195930)
니케이(241180)
철강주(117680)","유로스(195930)
니케이(241180)
철강주(117680)"
2022.10월2주,2022.10월3주,2022.10월5주,2022.10월6주,
금현물(411060),금현물(411060),이차전(305720),이차전(305720),
2022.9월1주,2022.9월2주,2022.9월3주,,
신재생(377990),자동차(091180),"금현물(411060)
자동차(091180)",,
2022.8월1주,2022.8월2주,2022.8월3주,2022.8월4주,2022.8월5주
"자동차(091180)
신재생(377990)
이차전(305720)","신재생(377990)
이차전(305720)
조선주(139230)","신재생(377990)
이차전(305720)
조선주(139230)","신재생(377990)
조선주(139230)
니케이(241180)","신재생(377990)
조선주(139230)"
2022.7월4주,2022.7월5주,,,
바이오(244580),자동차(091180),,,
2022.6월1주,2022.6월2주,2022.6월4주,2022.6월5주,
"신재생(377990)
에너지(117460)","신재생(377990)
에너지(117460)",금현물(411060),항셈테(371160),
2022.5월6주,,,,
"신재생(377990)
에너지(117460)
은행주(091170)",,,,
2022.4월1주,2022.4월2주,2022.4월3주,2022.4월4주,2022.4월5주
"은행주(091170)
케모멘(325020)
티모멘(147970)","티모멘(147970)
은행주(091170)
케모멘(325020)","철강주(117680)
티모멘(147970)","철강주(117680)
티모멘(147970)
조선주(139230)","철강주(117680)
티모멘(147970)"
2022.3월2주,2022.3월4주,2022.3월5주,,
"철강주(117680)
조선주(139230)","티모멘(147970)
건설주(117700)
철강주(117680)","티모멘(147970)
은행주(091170)
철강주(117680)",,
2022.2월2주,2022.2월3주,2022.2월4주,,
은행주(091170),은행주(091170),은행주(091170),,
2022.1월2주,2022.1월3주,2022.1월4주,,
"유로스(195930)
반도체(091160)
은행주(091170)","은행주(091170)
케모멘(325020)
티모멘(147970)","은행주(091170)
케모멘(325020)",,
